,Unnamed: 0,Geneva_1,Geneva_2,Geneva_3,Geneva_4,Geneva_5,Geneva_6,Geneva_7,Geneva_8,Geneva_9,Geneva_10,Geneva_11,Geneva_12,Basel_1,Basel_2,Basel_3,Basel_4,Basel_5,Basel_6,Basel_7,Basel_8,Basel_9,Basel_10,Basel_11,Basel_12,Bern_1,Bern_2,Bern_3,Bern_4,Bern_5,Bern_6,Bern_7,Bern_8,Bern_9,Bern_10,Bern_11,Bern_12,Zurich_1,Zurich_2,Zurich_3,Zurich_4,Zurich_5,Zurich_6,Zurich_7,Zurich_8,Zurich_9,Zurich_10,Zurich_11,Zurich_12,Neuchatel_1,Neuchatel_2,Neuchatel_3,Neuchatel_4,Neuchatel_5,Neuchatel_6,Neuchatel_7,Neuchatel_8,Neuchatel_9,Neuchatel_10,Neuchatel_11,Neuchatel_12
0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,04:00,0.0,0.0,0.0,0.0,0.67,50.6,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,71.79,27.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,86.64,10.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59,82.12,23.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,7.04,1.87,0.0,0.0,0.0,0.0,0.0
5,05:00,0.0,0.0,0.0,70.62,226.87,297.47,291.18,132.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.86,210.84,258.93,255.25,125.33,3.19,0.0,0.0,0.0,0.0,0.0,0.0,94.91,164.91,293.22,276.54,156.7,0.34,0.0,0.0,0.0,0.0,0.0,0.0,95.87,226.1,260.1,254.86,134.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.2,226.73,282.6,270.79,143.73,0.91,0.0,0.0,0.0
6,06:00,0.0,0.0,91.18,353.49,397.05,462.13,505.74,400.98,265.24,56.14,0.0,0.0,0.0,0.0,110.66,334.42,369.84,418.79,436.89,353.22,250.56,48.38,0.0,0.0,0.0,0.0,129.02,350.65,253.67,448.09,468.42,390.36,298.61,89.82,0.0,0.0,0.0,0.0,134.16,343.92,364.66,412.92,421.76,347.92,168.73,89.52,0.0,0.0,0.0,0.0,122.58,350.43,386.55,442.61,461.49,377.32,268.2,67.86,0.0,0.0
7,07:00,0.0,142.72,352.09,503.6,510.12,594.35,647.77,566.07,445.43,283.47,121.89,0.0,0.0,124.73,340.48,481.2,486.38,537.62,572.38,498.87,405.1,280.0,96.43,0.0,0.0,163.27,345.78,521.35,323.64,566.2,601.41,547.2,463.84,340.26,162.85,0.0,0.0,155.96,334.33,477.25,465.87,525.34,545.16,490.39,248.91,266.01,140.72,0.0,0.0,146.86,359.86,512.4,500.25,564.04,597.08,524.34,430.71,254.61,112.46,0.0
8,08:00,240.8,331.44,488.01,615.85,616.3,687.72,723.4,664.47,579.41,394.6,258.85,229.64,242.61,310.01,476.07,597.19,575.37,635.08,646.5,595.45,543.06,391.31,299.15,247.48,268.6,320.07,457.8,610.92,368.96,645.93,688.11,626.58,580.12,459.19,332.63,263.37,241.71,295.27,451.64,577.54,566.2,602.48,647.99,579.22,318.09,339.79,254.38,210.62,205.18,319.27,476.73,620.09,607.21,672.5,708.95,638.26,561.74,335.66,236.38,180.05
9,09:00,306.9,415.47,567.55,684.1,661.06,744.92,773.04,719.7,662.48,456.35,311.3,288.7,318.96,398.88,545.02,659.01,621.71,676.48,707.14,661.6,610.12,444.98,338.43,324.21,337.66,424.16,519.24,670.8,376.06,685.81,727.88,673.03,626.98,499.58,385.23,320.72,288.92,366.74,523.55,631.54,631.06,650.35,693.51,636.58,355.44,394.53,276.83,265.32,269.13,401.24,554.86,693.58,652.65,733.74,759.84,703.96,645.16,393.54,282.91,215.58
10,10:00,357.75,457.31,628.14,721.96,688.21,768.19,790.81,742.45,710.98,531.36,377.0,308.87,366.03,450.47,565.75,686.47,621.54,688.24,717.25,675.93,643.46,534.83,415.96,379.37,383.64,446.0,567.81,685.46,363.96,693.04,750.47,683.03,659.01,554.8,442.96,339.55,313.3,401.57,549.86,676.82,641.35,679.79,706.58,659.26,398.01,456.52,340.67,291.18,315.28,444.09,608.39,727.37,668.24,764.97,770.3,724.45,694.34,477.19,322.38,242.33
11,11:00,402.33,493.18,667.57,739.42,706.59,785.2,808.36,766.89,737.77,563.88,418.4,350.07,381.91,477.34,604.18,698.03,629.14,710.01,727.94,703.13,670.65,556.05,425.79,391.16,391.79,465.27,596.68,688.5,382.94,704.52,760.06,686.39,671.78,585.61,472.21,365.47,333.2,437.87,587.03,708.33,651.89,702.0,731.9,685.17,411.16,507.25,376.27,305.24,338.99,478.15,632.33,727.59,688.95,775.18,795.98,742.83,716.98,536.83,348.39,261.86
