,Unnamed: 0,Bern_1,Bern_2,Bern_3,Bern_4,Bern_5,Bern_6,Bern_7,Bern_8,Bern_9,Bern_10,Bern_11,Bern_12,Basel_1,Basel_2,Basel_3,Basel_4,Basel_5,Basel_6,Basel_7,Basel_8,Basel_9,Basel_10,Basel_11,Basel_12,Zurich_1,Zurich_2,Zurich_3,Zurich_4,Zurich_5,Zurich_6,Zurich_7,Zurich_8,Zurich_9,Zurich_10,Zurich_11,Zurich_12,Neuchatel_1,Neuchatel_2,Neuchatel_3,Neuchatel_4,Neuchatel_5,Neuchatel_6,Neuchatel_7,Neuchatel_8,Neuchatel_9,Neuchatel_10,Neuchatel_11,Neuchatel_12,Geneva_1,Geneva_2,Geneva_3,Geneva_4,Geneva_5,Geneva_6,Geneva_7,Geneva_8,Geneva_9,Geneva_10,Geneva_11,Geneva_12
0,00:00,2.27,1.12,5.04,8.98,12.43,16.44,18.75,18.68,15.34,11.25,6.69,3.26,1.87,1.62,5.69,9.61,12.96,16.95,19.14,18.67,15.21,10.67,5.75,2.45,2.12,1.32,4.87,8.64,12.59,17.02,19.32,19.2,15.87,11.24,6.12,2.92,5.17,5.26,9.02,12.49,15.43,19.51,22.37,22.17,19.1,14.57,10.07,6.41,3.46,3.98,8.2,12.8,15.66,19.67,22.47,21.89,18.16,13.31,8.17,3.77
1,01:00,2.07,0.78,4.65,8.4,11.87,15.8,18.14,18.17,14.89,10.93,6.51,3.14,1.79,1.42,5.44,9.13,12.49,16.47,18.66,18.3,14.85,10.39,5.62,2.37,2.01,1.11,4.57,8.14,12.06,16.49,18.84,18.82,15.54,10.97,5.93,2.8,5.01,5.07,8.76,12.03,14.99,19.05,21.96,21.81,18.76,14.26,9.89,6.26,3.27,3.69,7.8,12.25,15.17,19.22,21.99,21.44,17.75,12.89,7.88,3.57
2,02:00,2.29,0.69,3.96,7.71,11.34,14.98,17.4,17.22,14.28,10.68,6.29,3.1,2.02,1.19,4.67,8.3,11.96,15.95,18.22,17.74,14.15,9.99,5.68,2.55,2.27,0.93,3.75,7.13,11.42,15.57,18.09,18.07,14.75,10.51,5.91,2.67,4.91,4.95,8.05,11.68,14.87,19.01,21.88,21.69,18.6,14.22,10.05,6.48,3.01,3.33,6.66,11.19,14.47,18.46,21.13,20.37,16.86,12.33,7.42,3.33
3,03:00,2.17,0.48,3.69,7.35,10.94,14.55,16.96,16.81,13.95,10.46,6.14,2.99,1.94,1.0,4.42,7.92,11.59,15.59,17.84,17.41,13.85,9.8,5.59,2.48,2.19,0.78,3.49,6.77,11.06,15.19,17.76,17.77,14.47,10.29,5.79,2.59,4.8,4.76,7.79,11.33,14.52,18.65,21.52,21.36,18.33,14.01,9.92,6.4,2.87,3.09,6.3,10.68,13.99,18.02,20.68,19.92,16.43,12.0,7.24,3.2
4,04:00,2.08,0.28,3.45,7.03,10.6,14.21,16.61,16.46,13.7,10.28,6.04,2.9,1.85,0.86,4.18,7.58,11.27,15.3,17.51,17.13,13.61,9.64,5.51,2.4,2.1,0.66,3.27,6.48,10.78,14.93,17.46,17.51,14.23,10.1,5.69,2.53,4.71,4.6,7.59,11.03,14.22,18.36,21.2,21.02,18.08,13.82,9.81,6.3,2.74,2.88,5.99,10.22,13.56,17.61,20.24,19.49,16.04,11.72,7.07,3.08
5,05:00,1.82,-0.06,3.35,7.52,11.48,15.13,17.11,16.7,13.84,9.97,5.85,2.7,1.74,0.71,4.09,8.04,12.14,15.99,17.95,17.31,13.76,9.5,5.5,2.32,1.96,0.4,3.07,6.95,11.63,15.72,17.91,17.63,14.18,9.94,5.52,2.47,4.74,4.74,7.52,10.75,13.99,17.63,20.34,20.36,17.86,13.71,9.87,6.33,2.39,2.66,5.79,10.52,14.33,18.38,20.82,19.89,16.04,11.28,6.91,2.83
6,06:00,1.74,-0.17,3.26,8.29,13.16,17.0,18.77,17.54,13.96,9.86,5.77,2.63,1.65,0.58,4.05,9.0,13.99,17.88,19.78,18.41,14.01,9.39,5.47,2.27,1.89,0.29,3.05,7.93,13.48,17.55,19.54,18.46,14.35,9.86,5.44,2.42,4.7,4.62,7.41,11.27,15.19,19.07,21.5,20.93,17.89,13.6,9.79,6.28,2.29,2.51,5.63,10.91,15.49,19.76,21.91,20.31,15.97,11.06,6.78,2.73
7,07:00,1.87,0.02,4.46,10.95,15.34,18.88,20.81,19.61,15.46,10.51,5.93,2.67,1.62,0.68,5.28,11.51,15.72,19.32,21.39,20.35,15.72,10.25,5.65,2.26,1.92,0.45,4.2,10.62,15.35,19.07,21.11,20.13,15.64,10.4,5.49,2.37,4.76,4.75,8.21,13.36,17.13,20.77,23.3,22.62,19.05,14.07,9.92,6.35,2.42,2.73,6.71,13.28,17.82,21.97,24.14,22.34,17.32,11.59,6.97,2.91
8,08:00,2.51,1.67,6.92,12.83,16.21,19.41,21.49,20.62,16.92,12.78,7.74,3.44,2.25,2.11,7.17,12.88,16.52,19.79,21.85,20.87,16.72,11.87,7.03,3.09,2.42,1.76,6.6,12.71,16.55,19.7,21.68,20.85,16.92,12.08,6.76,3.0,4.72,4.31,7.76,13.34,16.92,20.31,22.76,21.75,17.86,13.47,9.51,6.33,3.86,4.77,9.42,15.48,18.71,22.3,24.65,23.2,19.08,14.18,9.27,4.32
9,09:00,3.73,3.71,8.78,14.13,17.22,20.35,22.48,21.72,18.26,14.64,9.56,4.64,3.42,3.84,8.78,14.21,17.56,20.81,22.9,22.01,18.06,13.34,8.51,4.26,3.31,3.45,8.21,14.06,17.6,20.66,22.67,21.88,18.12,13.59,8.27,3.94,5.64,5.75,9.37,14.66,17.95,21.28,23.78,22.88,19.09,14.94,10.88,7.19,4.9,6.4,11.2,16.78,19.75,23.3,25.71,24.38,20.62,16.27,10.97,5.37
