,Zurich_1,Zurich_2,Zurich_3,Zurich_4,Zurich_5,Zurich_6,Zurich_7,Zurich_8,Zurich_9,Zurich_10,Zurich_11,Zurich_12
00:00,2.12,1.32,4.87,8.64,12.59,17.02,19.32,19.2,15.87,11.24,6.12,2.92
01:00,2.01,1.11,4.57,8.14,12.06,16.49,18.84,18.82,15.54,10.97,5.93,2.8
02:00,2.27,0.93,3.75,7.13,11.42,15.57,18.09,18.07,14.75,10.51,5.91,2.67
03:00,2.19,0.78,3.49,6.77,11.06,15.19,17.76,17.77,14.47,10.29,5.79,2.59
04:00,2.1,0.66,3.27,6.48,10.78,14.93,17.46,17.51,14.23,10.1,5.69,2.53
05:00,1.96,0.4,3.07,6.95,11.63,15.72,17.91,17.63,14.18,9.94,5.52,2.47
06:00,1.89,0.29,3.05,7.93,13.48,17.55,19.54,18.46,14.35,9.86,5.44,2.42
07:00,1.92,0.45,4.2,10.62,15.35,19.07,21.11,20.13,15.64,10.4,5.49,2.37
08:00,2.42,1.76,6.6,12.71,16.55,19.7,21.68,20.85,16.92,12.08,6.76,3
09:00,3.31,3.45,8.21,14.06,17.6,20.66,22.67,21.88,18.12,13.59,8.27,3.94
10:00,4.62,4.84,9.33,15.12,18.5,21.53,23.53,22.77,19.12,14.73,9.57,5.25
11:00,4.91,5.21,9.85,15.68,18.75,22.12,24.34,23.46,19.6,14.82,9.34,5.88
12:00,5.57,5.88,10.48,16.31,19.25,22.63,24.88,24,20.17,15.49,9.9,6.46
13:00,5.84,6.25,10.86,16.67,19.53,22.94,25.2,24.32,20.52,15.85,10.15,6.67
14:00,6.47,7.38,12.01,17.39,20.01,23.44,25.43,24.63,21.03,16.75,10.73,7.08
15:00,6.04,7.15,11.85,17.21,19.86,23.32,25.31,24.5,20.82,16.39,10.17,6.48
16:00,5.3,6.54,11.41,16.75,19.43,22.92,24.98,24.11,20.33,15.6,9.23,5.75
17:00,4.63,5.95,10.74,15.56,18.71,22.53,24.61,23.53,19.71,14.58,8.62,5.26
18:00,4.11,5.09,9.6,14.36,17.78,21.74,23.75,22.62,18.68,13.72,8.04,4.83
19:00,3.66,4.37,8.79,13.26,16.73,20.79,22.78,21.57,17.87,12.89,7.43,4.4
20:00,3.14,3.07,7.19,11.51,15.13,19.5,21.65,20.67,17.24,12.45,7.13,3.73
21:00,2.91,2.59,6.45,10.46,14.26,18.65,20.79,19.97,16.67,12,6.82,3.53
22:00,2.7,2.25,5.84,9.59,13.49,17.9,20.06,19.43,16.16,11.65,6.58,3.36
23:00,2.25,1.59,5.41,9.35,13.27,17.72,19.91,19.52,16.13,11.34,6.1,3.02
